experiment,condition_id,condition_label,trial,frequency_hz,sample_amount_ml,effective_depth_cm,success,energy_wh,target_depth_cm
substrate,sandy,砂质底床,1,2.0,35.308066805822826,14.783597528311931,True,,15.0
substrate,sandy,砂质底床,2,2.0,34.199339477050884,13.749511166381714,True,,15.0
substrate,sandy,砂质底床,3,2.0,29.325454329701934,15.156331023635174,True,,15.0
substrate,sandy,砂质底床,4,2.0,31.552121550494437,14.134745675102804,True,,15.0
substrate,sandy,砂质底床,5,2.0,32.14584499177964,14.17119870926385,True,,15.0
substrate,sandy,砂质底床,6,2.0,31.548456070328253,14.85114642655294,True,,15.0
substrate,sandy,砂质底床,7,2.0,29.649828970483522,14.436195055837729,True,,15.0
substrate,sandy,砂质底床,8,2.0,33.33233496330813,13.28442191948895,True,,15.0
substrate,sandy,砂质底床,9,2.0,31.473508963983278,13.297958792280639,False,,15.0
substrate,sandy,砂质底床,10,2.0,32.54919879542612,15.007635410638025,True,,15.0
substrate,sandy,砂质底床,11,2.0,32.07912519458661,14.19094032354487,True,,15.0
substrate,sandy,砂质底床,12,2.0,32.306255441001596,13.397440258042248,True,,15.0
substrate,sandy,砂质底床,13,2.0,35.133067902942756,14.038254919312564,True,,15.0
substrate,sandy,砂质底床,14,2.0,29.75645503022976,15.082370648877756,True,,15.0
substrate,sandy,砂质底床,15,2.0,29.443445665963075,14.498904561878211,True,,15.0
substrate,sandy,砂质底床,16,2.0,32.44944565958636,14.451926366278057,True,,15.0
substrate,sandy,砂质底床,17,2.0,32.93033244050761,14.621803537033681,True,,15.0
substrate,sandy,砂质底床,18,2.0,32.32877975560371,13.263589366238243,True,,15.0
substrate,sandy,砂质底床,19,2.0,30.453758419291123,14.137693582914471,True,,15.0
substrate,sandy,砂质底床,20,2.0,32.24994972253379,13.518732646571326,True,,15.0
substrate,sandy,砂质底床,21,2.0,32.60164665119288,15.197531590325138,True,,15.0
substrate,sandy,砂质底床,22,2.0,33.29854709916107,14.319233444727319,True,,15.0
substrate,sandy,砂质底床,23,2.0,32.361901685385604,14.278759813130938,True,,15.0
substrate,sandy,砂质底床,24,2.0,33.26715098157929,13.739443320496052,False,,15.0
substrate,sandy,砂质底床,25,2.0,32.00259148302833,14.54679244442739,True,,15.0
substrate,sandy,砂质底床,26,2.0,32.42595646087891,14.228846875346779,True,,15.0
substrate,sandy,砂质底床,27,2.0,32.70610959293225,14.805329383801855,True,,15.0
substrate,sandy,砂质底床,28,2.0,29.975894541415794,15.365207398720719,True,,15.0
substrate,sandy,砂质底床,29,2.0,30.877890565533804,14.943590279331287,True,,15.0
substrate,sandy,砂质底床,30,2.0,33.19582917610266,14.216948191649527,True,,15.0
substrate,sandy,砂质底床,31,2.0,32.52964334521297,13.378070974062057,False,,15.0
substrate,sandy,砂质底床,32,2.0,29.67171597734082,14.361157293296836,True,,15.0
substrate,sandy,砂质底床,33,2.0,29.42231125441333,15.471951307079905,True,,15.0
substrate,sandy,砂质底床,34,2.0,31.024728185418915,14.2975315798653,True,,15.0
substrate,sandy,砂质底床,35,2.0,32.396560996066945,13.506191726327588,True,,15.0
substrate,sandy,砂质底床,36,2.0,31.471331762836,13.553248469379229,True,,15.0
substrate,sandy,砂质底床,37,2.0,32.40737794362298,13.790909609532605,True,,15.0
substrate,sandy,砂质底床,38,2.0,32.90778501334884,15.063156823066885,True,,15.0
substrate,sandy,砂质底床,39,2.0,33.85027934334587,12.832082449040936,True,,15.0
substrate,sandy,砂质底床,40,2.0,32.70955177665711,13.342386177388008,True,,15.0
substrate,sandy,砂质底床,41,2.0,34.137383000118106,14.418536735374524,True,,15.0
substrate,sandy,砂质底床,42,2.0,32.016569368068204,13.858351538305365,True,,15.0
substrate,sandy,砂质底床,43,2.0,30.95912150752247,13.216172637522897,False,,15.0
substrate,sandy,砂质底床,44,2.0,31.094253428195717,14.40711014417969,True,,15.0
substrate,sandy,砂质底床,45,2.0,31.734871328236434,14.697027752234527,True,,15.0
substrate,sandy,砂质底床,46,2.0,30.795850206446598,14.766805072911236,True,,15.0
substrate,sandy,砂质底床,47,2.0,28.91831633668637,13.989515106314466,False,,15.0
substrate,sandy,砂质底床,48,2.0,33.593491479874125,14.103803541732457,True,,15.0
substrate,sandy,砂质底床,49,2.0,30.763494793099746,14.419947045168659,False,,15.0
substrate,sandy,砂质底床,50,2.0,30.279270183277003,13.530743265815453,True,,15.0
substrate,sandy,砂质底床,51,2.0,31.75953792752961,13.407578221342199,True,,15.0
substrate,sandy,砂质底床,52,2.0,33.49842087562109,13.211030530929712,True,,15.0
substrate,sandy,砂质底床,53,2.0,33.59454374077817,15.013102386768958,True,,15.0
substrate,sandy,砂质底床,54,2.0,33.122064915645424,14.82016274958448,True,,15.0
substrate,sandy,砂质底床,55,2.0,32.374295467616044,14.983981113856077,True,,15.0
substrate,sandy,砂质底床,56,2.0,31.92934576622923,14.599259953564731,True,,15.0
substrate,sandy,砂质底床,57,2.0,30.680189172659013,14.57229855958626,True,,15.0
substrate,sandy,砂质底床,58,2.0,34.34576015639886,14.185584376475864,True,,15.0
substrate,sandy,砂质底床,59,2.0,30.393082488958427,14.070324614285234,True,,15.0
substrate,sandy,砂质底床,60,2.0,33.44623155817494,14.27898710500739,True,,15.0
substrate,sandy,砂质底床,61,2.0,37.12837350022666,14.19093507068211,True,,15.0
substrate,sandy,砂质底床,62,2.0,30.458941482811902,14.557890165024242,True,,15.0
substrate,sandy,砂质底床,63,2.0,31.59922890755725,13.728426312934555,True,,15.0
substrate,sandy,砂质底床,64,2.0,33.928867998154594,14.433876588086207,False,,15.0
substrate,sandy,砂质底床,65,2.0,30.187883653200124,15.030991795283562,True,,15.0
substrate,sandy,砂质底床,66,2.0,29.55048839509571,15.457253179066553,False,,15.0
substrate,sandy,砂质底床,67,2.0,32.345456691853855,14.173416216400888,True,,15.0
substrate,sandy,砂质底床,68,2.0,32.80579363156258,15.389906147025552,True,,15.0
substrate,sandy,砂质底床,69,2.0,34.164632622811034,13.989676373670855,True,,15.0
substrate,sandy,砂质底床,70,2.0,31.75359235726403,13.714491613166016,True,,15.0
substrate,sandy,砂质底床,71,2.0,32.99196398702206,13.598863511837493,True,,15.0
substrate,sandy,砂质底床,72,2.0,34.214919763664724,14.423663152890343,True,,15.0
substrate,sandy,砂质底床,73,2.0,32.56046888423339,14.282383011854808,True,,15.0
substrate,sandy,砂质底床,74,2.0,32.381192647848835,13.75824989228108,True,,15.0
substrate,sandy,砂质底床,75,2.0,31.143433383731868,14.98908426199527,True,,15.0
substrate,sandy,砂质底床,76,2.0,28.863753506049978,14.780908400291334,True,,15.0
substrate,sandy,砂质底床,77,2.0,32.84114327517201,13.956314218357104,True,,15.0
substrate,sandy,砂质底床,78,2.0,32.52483276971859,14.791438469585962,True,,15.0
substrate,sandy,砂质底床,79,2.0,31.323184497271477,13.763714117873723,True,,15.0
substrate,sandy,砂质底床,80,2.0,32.114709721312714,14.643937365194795,True,,15.0
substrate,sandy,砂质底床,81,2.0,31.07670974378023,15.24161083328396,True,,15.0
substrate,sandy,砂质底床,82,2.0,30.25889488379578,13.634052874551909,True,,15.0
substrate,sandy,砂质底床,83,2.0,32.623633957616136,14.766900774394989,True,,15.0
substrate,sandy,砂质底床,84,2.0,30.118011609249436,13.5277164118213,True,,15.0
substrate,sandy,砂质底床,85,2.0,33.808143993980956,13.070355419256375,True,,15.0
substrate,sandy,砂质底床,86,2.0,32.212509170577235,14.595049215568613,True,,15.0
substrate,sandy,砂质底床,87,2.0,35.995706137063635,15.354314482017719,True,,15.0
substrate,sandy,砂质底床,88,2.0,33.703851411243946,14.357270021820542,True,,15.0
substrate,sandy,砂质底床,89,2.0,35.07729920525532,14.002327361277422,True,,15.0
substrate,sandy,砂质底床,90,2.0,30.950649710809387,14.104579900566875,True,,15.0
substrate,sandy,砂质底床,91,2.0,30.592601361300158,15.161857844228482,True,,15.0
substrate,sandy,砂质底床,92,2.0,31.31062915565163,14.335520464963867,True,,15.0
substrate,sandy,砂质底床,93,2.0,30.022399286654633,14.114350849824987,True,,15.0
substrate,sandy,砂质底床,94,2.0,31.808883290202044,14.505094081728211,True,,15.0
substrate,sandy,砂质底床,95,2.0,32.07910636325834,14.098740216744618,True,,15.0
substrate,sandy,砂质底床,96,2.0,33.72308971039016,14.288348182304583,True,,15.0
substrate,sandy,砂质底床,97,2.0,32.08163654089802,13.990726270839069,True,,15.0
substrate,sandy,砂质底床,98,2.0,32.942652053939476,13.582457976596984,True,,15.0
substrate,sandy,砂质底床,99,2.0,32.35090450231511,14.758606059336564,True,,15.0
substrate,sandy,砂质底床,100,2.0,32.07990256120202,14.879657101216877,True,,15.0
substrate,muddy,泥质底床,1,2.0,30.285923174875325,14.155925056438715,True,,15.0
